time(min),abs,tspr_max,lspr_max
0.0,0.38,0.38,0.39
0.5,0.38,0.38,0.39
1.0,0.38,0.38,0.39
1.5,0.38,0.38,0.39
2.0,0.38,0.38,0.39
2.5,0.38,0.38,0.38
3.0,0.38,0.38,0.38
3.5,0.37,0.37,0.38
4.0,0.37,0.37,0.38
4.5,0.37,0.37,0.38
5.0,0.37,0.37,0.38
5.5,0.38,0.38,0.38
6.0,0.38,0.38,0.39
6.5,0.37,0.37,0.39
7.0,0.37,0.37,0.39
7.5,0.38,0.38,0.39
8.0,0.38,0.38,0.39
8.5,0.38,0.38,0.39
9.0,0.38,0.38,0.39
9.5,0.38,0.38,0.39
10.0,0.38,0.38,0.39
10.5,0.38,0.38,0.39
11.0,0.38,0.38,0.39
11.5,0.38,0.38,0.39
12.0,0.38,0.38,0.39
12.5,0.38,0.38,0.39
13.0,0.38,0.38,0.39
13.5,0.38,0.38,0.39
14.0,0.38,0.38,0.39
14.5,0.38,0.38,0.39
15.0,0.38,0.38,0.39
15.5,0.38,0.38,0.39
16.0,0.38,0.38,0.39
16.5,0.38,0.38,0.39
17.0,0.38,0.38,0.39
17.5,0.38,0.38,0.39
18.0,0.38,0.38,0.39
18.5,0.38,0.38,0.39
19.0,0.38,0.38,0.39
19.5,0.38,0.38,0.39
20.0,0.38,0.38,0.39
20.5,0.38,0.38,0.39
21.0,0.38,0.38,0.39
21.5,0.38,0.38,0.39
22.0,0.38,0.38,0.39
22.5,0.38,0.38,0.39
23.0,0.38,0.38,0.39
23.5,0.38,0.38,0.39
24.0,0.38,0.38,0.38
24.5,0.38,0.38,0.37
25.0,0.39,0.39,0.36
25.5,0.38,0.38,0.36
26.0,0.37,0.37,0.35
26.5,0.35,0.35,0.35
27.0,0.33,0.33,0.36
27.5,0.31,0.31,0.36
28.0,0.3,0.3,0.35
28.5,0.29,0.29,0.35
29.0,0.29,0.29,0.34
29.5,0.28,0.28,0.33
30.0,0.28,0.28,0.32
30.5,0.27,0.27,0.32
31.0,0.27,0.27,0.31
31.5,0.27,0.27,0.3
32.0,0.27,0.27,0.3
32.5,0.26,0.26,0.3
33.0,0.26,0.26,0.29
33.5,0.26,0.26,0.29
34.0,0.26,0.26,0.29
34.5,0.26,0.26,0.29
35.0,0.25,0.25,0.29
35.5,0.25,0.25,0.29
36.0,0.25,0.25,0.29
36.5,0.25,0.25,0.29
37.0,0.25,0.25,0.29
37.5,0.25,0.25,0.29
38.0,0.25,0.25,0.29
38.5,0.25,0.25,0.3
39.0,0.25,0.25,0.3
39.5,0.25,0.25,0.31
40.0,0.24,0.24,0.32
40.5,0.24,0.24,0.32
41.0,0.24,0.24,0.33
41.5,0.25,0.25,0.34
42.0,0.27,0.27,0.34
42.5,0.29,0.29,0.34
43.0,0.31,0.31,0.34
43.5,0.34,0.34,0.35
44.0,0.36,0.36,0.35
44.5,0.37,0.37,0.37
45.0,0.38,0.38,0.38
45.5,0.38,0.38,0.39
46.0,0.38,0.38,0.39
46.5,0.38,0.38,0.39
47.0,0.38,0.38,0.39
47.5,0.38,0.38,0.39
48.0,0.38,0.38,0.39
48.5,0.38,0.38,0.39
49.0,0.38,0.38,0.39
49.5,0.38,0.38,0.39
50.0,0.38,0.38,0.39
50.5,0.38,0.38,0.39
51.0,0.39,0.39,0.4
51.5,0.39,0.39,0.4
52.0,0.39,0.39,0.4
52.5,0.39,0.39,0.4
53.0,0.39,0.39,0.4
53.5,0.39,0.39,0.4
54.0,0.39,0.39,0.4
54.5,0.39,0.39,0.4
55.0,0.39,0.39,0.4
55.5,0.39,0.39,0.4
56.0,0.39,0.39,0.4
56.5,0.39,0.39,0.4
57.0,0.38,0.38,0.4
57.5,0.38,0.38,0.4
58.0,0.38,0.38,0.4
58.5,0.38,0.38,0.4
59.0,0.38,0.38,0.4
59.5,0.37,0.37,0.39
60.0,0.37,0.37,0.39
60.5,0.36,0.36,0.38
